Signal,Type,Context,WindowStart_s,WindowEnd_s,Maximum,Minimum,AbsolutePeak,IntervalRMS,IntervalAverage,Range
Iac,Current,SteadyState,4.8,5,0.646827326387472,-0.653109950918098,0.653109950918098,0.427896384024959,-0.000326210674224374,1.29993727730557
Iprecharge,Current,SteadyState,4.8,5,7.88717627593339e-05,-7.96378430579325e-05,7.96378430579325e-05,5.21761229152864e-05,-3.97769384637987e-08,0.000158509605817266
Ibypass,Current,SteadyState,4.8,5,0.646748454624713,-0.65303031307504,0.65303031307504,0.427844207902044,-0.000326170897285901,1.29977876769975
Ibridge,Current,SteadyState,4.8,5,1.3205234636978,-1.3235626865986,1.3235626865986,0.504619456124694,-0.000325598809283516,2.64408615029641
iBridgeD1,Current,SteadyState,4.8,5,1.32052178555287,-1.74826469589995e-06,1.32052178555287,0.356470320001,0.1915426825496,1.32052353381756
iL,Current,SteadyState,4.8,5,1.32355932243776,-3.98893053056561e-09,1.32355932243776,0.504617433886797,0.383410963908483,1.32355932642669
Isource,Current,SteadyState,4.8,5,1.26169839967698,3.991123609426e-06,1.26169839967698,0.389556730249613,0.245213532270557,1.26169440855337
iBoostDiode,Current,SteadyState,4.8,5,1.31954285108936,-4.00772961698499e-06,1.31954285108936,0.319024726839055,0.138197431637926,1.31954685881898
iCout,Current,SteadyState,4.8,5,1.19446510880194,-0.125245279300643,1.19446510880194,0.287813973730418,0.0131971187437851,1.31971038810258
iCx,Current,SteadyState,4.8,5,0.716134352494195,-0.689732708126661,0.716134352494195,0.26751129530606,-6.11864940867017e-07,1.40586706062086
Iout,Current,SteadyState,4.8,5,0.125327463684329,0.124733808952477,0.125327463684329,0.125000431530804,0.125000312894141,0.000593654731852772
Vac,Voltage,SteadyState,4.8,5,169.705627484771,-169.705627484771,169.705627484771,120,1.04308128356934e-13,339.411254969543
Vac_bridge,Voltage,SteadyState,4.8,5,175.740699881184,-175.600100327903,175.740699881184,119.964009420051,3.3693614509888e-05,351.340800209087
Vout,Voltage,SteadyState,4.8,5,401.049137064491,399.149435986014,401.049137064491,400.002630902887,400.00225126438,1.8997010784762
Vds,Voltage,SteadyState,4.8,5,401.944205806293,1.19863831472996e-06,401.944205806293,209.597518940891,111.725461316593,401.944204607655
VBoostDiodeAK,Voltage,SteadyState,4.8,5,0.99586285352683,-400.772961698499,400.772961698499,338.420278057099,-288.276789947787,401.768824552026
VBridgeD1AK,Voltage,SteadyState,4.8,5,0.996156533865872,-174.826469596794,174.826469596794,84.356301071138,-53.2858196637674,175.822626130659
