Signal,Type,Context,WindowStart_s,WindowEnd_s,Maximum,Minimum,AbsolutePeak,IntervalRMS,IntervalAverage,Range
Iac,Current,SteadyState,4,5,0.0066192882781533,-0.00661928828304064,0.00661928828304064,0.00467802272616351,-6.31785879079416e-13,0.0132385765611939
Iprecharge,Current,SteadyState,4,5,8.07131847097953e-07,-8.07131847707492e-07,8.07131847707492e-07,5.70421012823302e-07,-7.6981242908003e-17,1.61426369480545e-06
Ibypass,Current,SteadyState,4,5,0.00661848114630619,-0.00661848115119293,0.00661848115119293,0.00467745230515068,-6.31708891773997e-13,0.0132369622974991
Ibridge,Current,SteadyState,4,5,0.00168782794541705,-0.00168782794708827,0.00168782794708827,0.00119039643675271,-6.29708166854925e-13,0.00337565589250532
iBridgeD1,Current,SteadyState,4,5,0.00168613685100344,-1.69109441403763e-06,0.00168613685100344,0.000840893091107673,0.000533287193740673,0.00168782794541747
iL,Current,SteadyState,4,5,0.0016844457582602,-4.00023895465584e-09,0.0016844457582602,0.00118800719221828,0.00106657438811106,0.00168444975849915
Isource,Current,SteadyState,4,5,0.00168677275886341,4.00408745784592e-06,0.00168677275886341,0.00119042132853769,0.00106951810211497,0.00168276867140556
iBoostDiode,Current,SteadyState,4,5,-2.3270005994375e-06,-4.00823943598345e-06,4.00823943598345e-06,2.98967229918285e-06,-2.9437140039115e-06,1.68123883654595e-06
iCout,Current,SteadyState,4,5,-2.72820942649608e-06,-4.40946340347358e-06,4.40946340347358e-06,3.3854464250707e-06,-3.34493036954488e-06,1.68125397697751e-06
iCx,Current,SteadyState,4,5,0.0064104395086605,-0.00641043950982727,0.00641043950982727,0.00452402284564306,-2.07761576831444e-15,0.0128208790184878
Iout,Current,SteadyState,4,5,4.01223967490139e-07,4.0120876325428e-07,4.01223967490139e-07,4.01216365657395e-07,4.01216365633388e-07,1.52042358588017e-11
Vac,Voltage,SteadyState,4,5,169.705627484771,-169.705627484771,169.705627484771,120,1.86264514923096e-16,339.411254969543
Vac_bridge,Voltage,SteadyState,4,5,169.709947243142,-169.709947242994,169.709947243142,120.003280080083,6.16535544395447e-14,339.419894486136
Vout,Voltage,SteadyState,4,5,401.223967494152,401.208763258293,401.223967494152,401.216365661407,401.2163656374,0.0152042358590165
Vds,Voltage,SteadyState,4,5,168.508767119222,0.400008737047544,168.508767119222,118.923209644125,106.84496524625,168.108758382174
VBoostDiodeAK,Voltage,SteadyState,4,5,-232.70005994375,-400.823943598344,400.823943598344,298.967229918285,-294.37140039115,168.123883654595
VBridgeD1AK,Voltage,SteadyState,4,5,0.600505839255305,-169.109441403759,169.109441403759,84.4741754596662,-53.4225359517805,169.709947243014
