Signal,Type,Context,WindowStart_s,WindowEnd_s,Maximum,Minimum,AbsolutePeak,IntervalRMS,IntervalAverage,Range
Iac,Current,SteadyState,4.8,5,1.24064357963961,-1.24064152929657,1.24064357963961,0.856694150145224,-2.38127072721036e-05,2.48128510893618
Iprecharge,Current,SteadyState,4.8,5,0.00015127954879176,-0.000151279298780216,0.00015127954879176,0.000104462157071992,-2.90363440674701e-09,0.000302558847571976
Ibypass,Current,SteadyState,4.8,5,1.24049230009082,-1.24049024999779,1.24049230009082,0.856589687988152,-2.38098036377123e-05,2.48098255008861
Ibridge,Current,SteadyState,4.8,5,2.50516849236984,-2.50516837654134,2.50516849236984,1.001247214259,-2.38825238356221e-05,5.01033686891118
iBridgeD1,Current,SteadyState,4.8,5,2.50516683784898,-1.78993239607905e-06,2.50516683784898,0.707973069036149,0.382465088081733,2.50516862778138
iL,Current,SteadyState,4.8,5,2.50516518332813,-3.98970725265265e-09,2.50516518332813,1.00124517865784,0.764954058687302,2.50516518731784
Isource,Current,SteadyState,4.8,5,2.44452030304237,3.99098431680109e-06,2.44452030304237,0.789158916412238,0.501393226358218,2.44451631205805
iBoostDiode,Current,SteadyState,4.8,5,2.50114078009791,-4.01478031064657e-06,2.50114078009791,0.614496704069789,0.263560832329084,2.50114479487822
iCout,Current,SteadyState,4.8,5,2.25071434518278,-0.250925436324788,2.25071434518278,0.555166558226231,0.0135641244573747,2.50163978150757
iCx,Current,SteadyState,4.8,5,1.27692733200243,-1.27691900091502,1.27692733200243,0.520411960096528,6.98165634882759e-08,2.55384633291745
Iout,Current,SteadyState,4.8,5,0.251264284070931,0.248970625688466,0.251264284070931,0.249997664050313,0.249996707871709,0.00229365838246523
Vac,Voltage,SteadyState,4.8,5,169.705627484771,-169.705627484771,169.705627484771,120,7.35744833946228e-14,339.411254969543
Vac_bridge,Voltage,SteadyState,4.8,5,179.961203762771,-179.96159167214,179.96159167214,120.016012955261,8.74278283677995e-07,359.922795434911
Vout,Voltage,SteadyState,4.8,5,402.02697524614,398.357084218213,402.02697524614,400.000362440592,399.998832539144,3.66989102792712
Vds,Voltage,SteadyState,4.8,5,403.211284465585,1.19859644356139e-06,403.211284465585,207.665731103538,108.796931414619,403.211283266988
VBoostDiodeAK,Voltage,SteadyState,4.8,5,1.35034223222937,-401.478031064658,401.478031064658,340.647372392795,-291.201901124525,402.828373296887
VBridgeD1AK,Voltage,SteadyState,4.8,5,1.3515500495547,-178.993239595355,178.993239595355,84.3035226940893,-53.1505827126135,180.344789644909
