Signal,CorrectionMethod,RawAverage_A,TargetAverage_A,RemovedDCBias_A,RawRMS_A,CorrectedRMS_A,RippleRMS_A
iCout,Capacitor charge balance,-2.27342742325953e-06,-2.27343549182706e-06,8.0685675265182e-12,2.50190585879103e-06,2.50191319052507e-06,1.04453849973297e-06
iBoostDiode,Output-stage charge balance,-1.87140427426174e-06,-1.87141234282926e-06,8.06856752778875e-12,2.14317862895596e-06,2.14318567436006e-06,1.04453849995511e-06
