Signal,Type,Context,WindowStart_s,WindowEnd_s,Maximum,Minimum,AbsolutePeak,IntervalRMS,IntervalAverage,Range
Iac,Current,SteadyState,4.8,5,0.636191749204566,-0.636239623401856,0.636239623401856,0.426432210352351,3.01742523537123e-05,1.27243137260642
Iprecharge,Current,SteadyState,4.8,5,7.75748993053447e-05,-7.75807369103583e-05,7.75807369103583e-05,5.19975869229215e-05,3.67933983568647e-09,0.000155155636215703
Ibypass,Current,SteadyState,4.8,5,0.636114174305261,-0.636162042664946,0.636162042664946,0.426380212765428,3.01705730138856e-05,1.27227621697021
Ibridge,Current,SteadyState,4.8,5,1.27519337759012,-1.27519375700817,1.27519375700817,0.502835570188198,2.83612338968705e-05,2.5503871345983
iBridgeD1,Current,SteadyState,4.8,5,1.27518994742834,-3.44975589761098e-06,1.27518994742834,0.355566680814875,0.182885874666843,1.27519339718423
iL,Current,SteadyState,4.8,5,1.27518689667804,-3.9854339831936e-09,1.27518689667804,0.502831537162023,0.36574338809979,1.27518690066348
Isource,Current,SteadyState,4.8,5,1.14856911286165,3.98822900791677e-06,1.14856911286165,0.240749754887251,0.103955777352745,1.14856512463265
iBoostDiode,Current,SteadyState,4.8,5,1.27117164186648,-4.01365395489537e-06,1.27117164186648,0.439066845090091,0.261787610747044,1.27117565552044
iCout,Current,SteadyState,4.8,5,1.02110508695721,-0.250856269997861,1.02110508695721,0.352622170969827,0.0119375886620166,1.27196135695507
iCx,Current,SteadyState,4.8,5,0.651269395023949,-0.651344171818952,0.651344171818952,0.267437083586773,1.81301845682742e-06,1.3026135668429
Iout,Current,SteadyState,4.8,5,0.251022407312852,0.248756834550165,0.251022407312852,0.249851086202018,0.249850022085028,0.00226557276268644
Vac,Voltage,SteadyState,4.8,5,339.411254969543,-339.411254969543,339.411254969543,240,1.06170773506165e-13,678.822509939086
Vac_bridge,Voltage,SteadyState,4.8,5,345.759010939059,-345.759710928692,345.759710928692,239.971677916747,0.000107652829792351,691.518721867751
Vout,Voltage,SteadyState,4.8,5,401.638361924636,398.01342284861,401.638361924636,399.764236434091,399.762533836265,3.62493907602595
Vds,Voltage,SteadyState,4.8,5,402.521835263196,1.19777314450757e-06,402.521835263196,289.337683092165,218.480020419325,402.521834065423
VBoostDiodeAK,Voltage,SteadyState,4.8,5,0.981351490759948,-401.365395489537,401.365395489537,262.32482697676,-181.28251341694,402.346746980297
VBridgeD1AK,Voltage,SteadyState,4.8,5,0.982556982428548,-344.975589762262,344.975589762262,169.21449667676,-107.31264041792,345.958146744691
