Signal,CorrectionMethod,RawAverage_A,TargetAverage_A,RemovedDCBias_A,RawRMS_A,CorrectedRMS_A,RippleRMS_A
iCout,Capacitor charge balance,-3.34493036954488e-06,-3.34493188898364e-06,1.51943875428316e-12,3.3854464250707e-06,3.38544792632526e-06,5.2219567206204e-07
iBoostDiode,Output-stage charge balance,-2.9437140039115e-06,-2.94371552335025e-06,1.51943875343613e-12,2.98967229918285e-06,2.98967379526427e-06,5.2219567182871e-07
