Signal,Type,Context,WindowStart_s,WindowEnd_s,Maximum,Minimum,AbsolutePeak,IntervalRMS,IntervalAverage,Range
Iac,Current,SteadyState,4.8,5,0.327170214766458,-0.336555382854323,0.336555382854323,0.174745445506556,0.00043706828106466,0.663725597620781
Iprecharge,Current,SteadyState,4.8,5,3.98939415639148e-05,-4.10383346975149e-05,4.10383346975149e-05,2.13078216751138e-05,5.32945153458936e-08,8.09322762614298e-05
Ibypass,Current,SteadyState,4.8,5,0.327130320824894,-0.336514344519626,0.336514344519626,0.174724137684881,0.000437014986549308,0.663644665344519
Ibridge,Current,SteadyState,4.8,5,0.689072605185548,-0.697918652805826,0.697918652805826,0.229131678851757,0.000438001345617398,1.38699125799137
iBridgeD1,Current,SteadyState,4.8,5,0.689070919367652,-1.75602836965938e-06,0.689070919367652,0.162454952446964,0.0750126877314476,0.689072675396022
iL,Current,SteadyState,4.8,5,0.697915237805865,-3.9897103677672e-09,0.697915237805865,0.229129875319514,0.149587374117278,0.697915241795576
Isource,Current,SteadyState,4.8,5,0.635005397231326,3.99094533654759e-06,0.635005397231326,0.168374317842453,0.0893923783033228,0.63500140628599
iBoostDiode,Current,SteadyState,4.8,5,0.693902310702935,-4.00422686811085e-06,0.693902310702935,0.153844876443519,0.0601949958139551,0.693906314929803
iCout,Current,SteadyState,4.8,5,0.643891917243034,-0.0500568250334031,0.643891917243034,0.141940985813972,0.0101950703186743,0.693948742276437
iCx,Current,SteadyState,4.8,5,0.428495666375415,-0.422350660644613,0.428495666375415,0.148097530704131,-9.33064552743208e-07,0.850846327020028
Iout,Current,SteadyState,4.8,5,0.0500708769970651,0.0499440696523409,0.0500708769970651,0.0499999354091685,0.0499999254952807,0.000126807344724249
Vac,Voltage,SteadyState,4.8,5,169.705627484771,-169.705627484771,169.705627484771,119.999999999998,4.1816383600235e-13,339.411254969543
Vac_bridge,Voltage,SteadyState,4.8,5,175.856628540247,-176.281042672749,176.281042672749,119.9863467391,-5.01813751272857e-05,352.137671212995
Vout,Voltage,SteadyState,4.8,5,400.567516685291,399.553056659423,400.567516685291,399.999983272702,399.999903961501,1.01446002586749
Vds,Voltage,SteadyState,4.8,5,401.326907117403,1.19858475592135e-06,401.326907117403,195.434330895806,113.786362940885,401.326905918818
VBoostDiodeAK,Voltage,SteadyState,4.8,5,0.808170691410908,-400.422686811085,400.422686811085,327.345152275124,-286.213541020616,401.230857502496
VBridgeD1AK,Voltage,SteadyState,4.8,5,0.806721274010272,-175.602836970681,175.602836970681,84.4260409668343,-53.3694808766718,176.409558244692
