Signal,Type,Context,WindowStart_s,WindowEnd_s,Maximum,Minimum,AbsolutePeak,IntervalRMS,IntervalAverage,Range
Iac,Current,StartupTransient,0,0.5,4.31386421520255,-3.03844881032869,4.31386421520255,0.651152236463533,0.024823981374241,7.35231302553124
Iprecharge,Current,StartupTransient,0,0.5,3.9030800025076,-3.0384463188027,3.9030800025076,0.535087257021983,0.0228376699719051,6.94152632131031
Ibypass,Current,StartupTransient,0,0.5,4.31333819834908,-1.20408816218059,4.31333819834908,0.371007844211932,0.00198631140233592,5.51742636052968
Ibridge,Current,StartupTransient,0,0.5,4.31198965632173,-3.03708597341324,4.31198965632173,0.681515215624595,0.024822607333749,7.34907562973497
iBridgeD1,Current,StartupTransient,0,0.5,4.31198596934104,-4.45613520350108e-06,4.31198596934104,0.531974854966812,0.19958390142812,4.31199042547624
iL,Current,StartupTransient,0,0.5,4.31198228236034,-4.07320915069436e-09,4.31198228236034,0.681512422168722,0.374345195522491,4.31198228643355
Isource,Current,StartupTransient,0,0.5,1.64431564311209,-8.73839423642754e-19,1.64431564311209,0.155817369425878,0.0477228824353072,1.64431564311209
iBoostDiode,Current,StartupTransient,0,0.5,4.30831488560651,-4.10142102331598e-06,4.30831488560651,0.662005213141643,0.326622313087184,4.30831898702753
iCout,Current,StartupTransient,0,0.5,4.30831124085675,-0.256341797542598,4.30831124085675,0.628505858513703,0.18323005242178,4.56465303839935
iCx,Current,StartupTransient,0,0.5,1.45075822354474,-1.52005749837637,1.52005749837637,0.208613913546944,1.37404049203548e-06,2.97081572192111
Iout,Current,StartupTransient,0,0.5,0.256502390380802,-2.50594038366921e-30,0.256502390380802,0.190106343724943,0.143392260665404,0.256502390380802
Vac,Voltage,StartupTransient,0,0.5,373.352380466573,-373.352380466497,373.352380466573,264,2.27615237236023e-13,746.70476093307
Vac_bridge,Voltage,StartupTransient,0,0.5,439.090378505753,-446.440672226851,446.440672226851,251.371380078371,-1.87521176801571,885.531050732604
Vout,Voltage,StartupTransient,0,0.5,410.406389633187,-2.50598047870489e-22,410.406389633187,363.257974852007,355.310556617745,410.406389633187
Vds,Voltage,StartupTransient,0,0.5,411.281162053146,-8.73062311919852e-14,411.281162053146,275.912023419947,225.514999955857,411.281162053146
VBoostDiodeAK,Voltage,StartupTransient,0,0.5,1.89249446388197,-410.142102331598,410.142102331598,207.370412312945,-129.795556661889,412.03459679548
VBridgeD1AK,Voltage,StartupTransient,0,0.5,1.89359578900161,-445.613520346925,445.613520346925,178.094229027396,-112.682341236244,447.507116135927
