Signal,CorrectionMethod,RawAverage_A,TargetAverage_A,RemovedDCBias_A,RawRMS_A,CorrectedRMS_A,RippleRMS_A
iCout,Capacitor charge balance,0.0117697655885295,-4.78501930480774e-06,0.0117745506078343,0.657941493286657,0.657836211552058,0.657836211534655
iBoostDiode,Output-stage charge balance,0.261774467188498,0.249999916580664,0.0117745506078343,0.708122387857025,0.703854674491014,0.657960063007257
