Signal,Type,Context,WindowStart_s,WindowEnd_s,Maximum,Minimum,AbsolutePeak,IntervalRMS,IntervalAverage,Range
Iac,Current,SteadyState,4.8,5,1.24109696727236,-1.24109678948836,1.24109696727236,0.855712165536395,2.95634809254007e-05,2.48219375676072
Iprecharge,Current,SteadyState,4.8,5,0.000151334833223987,-0.000151334811545952,0.000151334833223987,0.000104342417453927,3.60486324573683e-09,0.000302669644769938
Ibypass,Current,SteadyState,4.8,5,1.24094563243914,-1.24094545467681,1.24094563243914,0.855607823118941,2.95598760621688e-05,2.48189108711595
Ibridge,Current,SteadyState,4.8,5,2.50514558988002,-2.50514575689089,2.50514575689089,1.00007625964952,2.95091206420839e-05,5.01029134677091
iBridgeD1,Current,SteadyState,4.8,5,2.50514393528398,-1.78991363330994e-06,2.50514393528398,0.707191182163271,0.382027124681372,2.50514572519761
iL,Current,SteadyState,4.8,5,2.50514244769467,-3.98607737038856e-09,2.50514244769467,1.00007422402887,0.764024740242102,2.50514245168075
Isource,Current,SteadyState,4.8,5,2.44449496248029,3.98866775112603e-06,2.44449496248029,0.788040817652069,0.500621612053859,2.44449097381253
iBoostDiode,Current,SteadyState,4.8,5,2.50112011210211,-4.01275760334857e-06,2.50112011210211,0.614026558172849,0.263403128188243,2.50112412485971
iCout,Current,SteadyState,4.8,5,2.25082885892544,-0.250800019648988,2.25082885892544,0.55472062682192,0.0135406613794889,2.50162887857443
iCx,Current,SteadyState,4.8,5,1.27648628876171,-1.2764901324743,1.2764901324743,0.519770880534358,5.43602833239767e-08,2.55297642123602
Iout,Current,SteadyState,4.8,5,0.25113326291674,0.248828119739376,0.25113326291674,0.249863423707863,0.249862466808754,0.00230514317736427
Vac,Voltage,SteadyState,4.8,5,169.705627484771,-169.705627484771,169.705627484771,120,7.91624188423157e-14,339.411254969543
Vac_bridge,Voltage,SteadyState,4.8,5,179.959702398315,-179.959701924401,179.959702398315,120.015842544716,-4.37790862377733e-06,359.919404322717
Vout,Voltage,SteadyState,4.8,5,401.815731999413,398.127479864199,401.815731999413,399.783976566818,399.782445518674,3.68825213521473
Vds,Voltage,SteadyState,4.8,5,403.014313450821,1.19791106089451e-06,403.014313450821,207.603914595721,108.791869666116,403.01431225291
VBoostDiodeAK,Voltage,SteadyState,4.8,5,1.35033603183064,-401.275760334856,401.275760334856,340.430666155014,-290.990575852558,402.626096366687
VBridgeD1AK,Voltage,SteadyState,4.8,5,1.35154317878516,-178.991363329175,178.991363329175,84.3035745966874,-53.1509128487127,180.34290650796
