Signal,Type,Context,WindowStart_s,WindowEnd_s,Maximum,Minimum,AbsolutePeak,IntervalRMS,IntervalAverage,Range
Iac,Current,SteadyState,4.8,5,0.667446074799228,-0.667432304453993,0.667446074799228,0.444451405136561,-8.17174189200268e-05,1.33487837925322
Iprecharge,Current,SteadyState,4.8,5,8.13859376658125e-05,-8.13842585604209e-05,8.13859376658125e-05,5.41947817509161e-05,-9.96432290783433e-09,0.000162770196226233
Ibypass,Current,SteadyState,4.8,5,0.667364688861563,-0.667350920195433,0.667364688861563,0.444397210354811,-8.17074545970991e-05,1.334715609057
Ibridge,Current,SteadyState,4.8,5,1.34250779981981,-1.34250913665145,1.34250913665145,0.524257023428778,-8.84111581023626e-05,2.68501693647126
iBridgeD1,Current,SteadyState,4.8,5,1.3425045181864,-3.30440398266241e-06,1.3425045181864,0.370631633595971,0.191141593571677,1.34250782259039
iL,Current,SteadyState,4.8,5,1.34250257336453,-3.98463235105834e-09,1.34250257336453,0.524253157181536,0.382371598301456,1.34250257734916
Isource,Current,SteadyState,4.8,5,1.22139635611672,3.98726550725453e-06,1.22139635611672,0.265776472263776,0.119919954073398,1.22139236885121
iBoostDiode,Current,SteadyState,4.8,5,1.33848788225896,-4.01584334086685e-06,1.33848788225896,0.449555385945006,0.262451644228058,1.3384918981023
iCout,Current,SteadyState,4.8,5,1.08850064231343,-0.250993107822293,1.08850064231343,0.365142129050225,0.0126654464283845,1.33949375013573
iCx,Current,SteadyState,4.8,5,0.688249984798684,-0.688216377362002,0.688249984798684,0.278794979229284,6.69373918236556e-06,1.37646636216069
Iout,Current,SteadyState,4.8,5,0.251172902137404,0.248474111293114,0.251172902137404,0.249787739725714,0.249786197799674,0.00269879084429026
Vac,Voltage,SteadyState,4.8,5,325.269119345812,-325.269119345812,325.269119345812,230,1.86264514923096e-14,650.538238691624
Vac_bridge,Voltage,SteadyState,4.8,5,331.222621423802,-331.224241626271,331.224241626271,229.966416401492,-1.02160745095462e-05,662.446863050073
Vout,Voltage,SteadyState,4.8,5,401.879155148868,397.561062810095,401.879155148868,399.662881438539,399.660414341456,4.31809233877294
Vds,Voltage,SteadyState,4.8,5,402.790796869593,1.19748647812386e-06,402.790796869593,283.949697941929,209.595718312657,402.790795672106
VBoostDiodeAK,Voltage,SteadyState,4.8,5,1.00154636287766,-401.584334086685,401.584334086685,269.791570301126,-190.064696028798,402.585880449562
VBridgeD1AK,Voltage,SteadyState,4.8,5,1.00275135365592,-330.440398258582,330.440398258582,162.13598725814,-102.804075679854,331.443149612238
