Signal,Type,Context,WindowStart_s,WindowEnd_s,Maximum,Minimum,AbsolutePeak,IntervalRMS,IntervalAverage,Range
Iac,Current,SteadyState,4.8,5,1.6845206543922,-1.68452088872054,1.68452088872054,1.15579866082288,7.48376146476912e-05,3.36904154311275
Iprecharge,Current,SteadyState,4.8,5,0.000205404298791979,-0.000205404327365022,0.000205404327365022,0.00014093386914006,9.12542494142787e-09,0.000410808626157002
Ibypass,Current,SteadyState,4.8,5,1.68431525009341,-1.68431548439318,1.68431548439318,1.15565772695374,7.48284892227784e-05,3.36863073448659
Ibridge,Current,SteadyState,4.8,5,3.36548145710078,-3.36544395732533,3.36548145710078,1.35049018986237,7.48721842805899e-05,6.73092541442611
iBridgeD1,Current,SteadyState,4.8,5,3.36548032106197,-1.45601747170154e-06,3.36548032106197,0.955013683218205,0.515433686789419,3.36548177707944
iL,Current,SteadyState,4.8,5,3.36547918502316,-3.98854915584073e-09,3.36547918502316,1.35048867056644,1.03079250139456,3.36547918901171
Isource,Current,SteadyState,4.8,5,3.32418123898277,3.991042746513e-06,3.32418123898277,1.14903582393381,0.76901803420606,3.32417724794003
iBoostDiode,Current,SteadyState,4.8,5,3.36144964918818,-4.01811101766382e-06,3.36144964918818,0.708122387857025,0.261774467188498,3.3614536672992
iCout,Current,SteadyState,4.8,5,3.11086209187742,-0.251134539547208,3.11086209187742,0.657941493286657,0.0117697655885295,3.36199663142463
iCx,Current,SteadyState,4.8,5,1.71719837815657,-1.71727523652716,1.71727523652716,0.705575507109574,-3.45696329029579e-08,3.43447361468373
Iout,Current,SteadyState,4.8,5,0.251579634880004,0.248776003391736,0.251579634880004,0.250006084235005,0.250004701599968,0.00280363148826726
Vac,Voltage,SteadyState,4.8,5,127.279220613708,-127.279220613579,127.279220613708,90.0000000000001,5.82076609134674e-14,254.558441227286
Vac_bridge,Voltage,SteadyState,4.8,5,146.699352414558,-146.696946799999,146.699352414558,90.4449691440755,-6.09090288844891e-06,293.396299214556
Vout,Voltage,SteadyState,4.8,5,402.529931604355,398.044093186812,402.529931604355,400.01223483685,400.010022606966,4.48583841754248
Vds,Voltage,SteadyState,4.8,5,403.934777447341,1.19861396472721e-06,403.934777447341,179.210720475347,80.8388775802554,403.934776248727
VBoostDiodeAK,Voltage,SteadyState,4.8,5,1.60843489295644,-401.811101766382,401.811101766382,356.934058097003,-319.17114502671,403.419536659338
VBridgeD1AK,Voltage,SteadyState,4.8,5,1.60964409451861,-145.601747168726,145.601747168726,63.3352713940799,-39.5498767255427,147.211391263245
